record;classification;subClassification;length;width;thickness;diameter;weight;quantity;broadperiod;fromdate;todate;location;date;weather
389528;;;28.5;18.5;4.9;;2;1;NEOLITHIC;-3500;-1150;Rother,Sussex Oriental;8318;77
388346;;;32.2;23.9;5.1;;2.79;1;NEOLITHIC;-2500;-2100;Isle of Wight,Isle of Wight;7100;51.8
388109;Leaf Shaped;;20.35;17.36;4.03;;1.64;1;NEOLITHIC;-3500;-2100;North Lincolnshire,Lincolnshire;10663;66.2
388028;;;22.6;16.97;4.45;;1.61;1;NEOLITHIC;-3500;-1500;Mendip,Somerset;10695;77
387812;Chisel shaped;;28.8;28.2;5.8;;4.91;1;NEOLITHIC;-2500;-1800;Mole Valley,Surrey;5603;48.2
387071;Leaf-shaped;;26.21;18.68;4.28;;1.97;1;NEOLITHIC;-3500;-2900;North Lincolnshire,Lincolnshire;10663;53.6
384718;;;33.4;20.3;3.6;;3.1;1;NEOLITHIC;-2500;-1150;Tonbridge and Malling,Kent;11692;50
383778;;;39.73;15.93;5.29;;2.18;1;NEOLITHIC;;;Huntingdonshire,Cambridgeshire;13549;77
291382;;;62.77;19.33;4.39;;18.02;1;MEDIEVAL;1066;1450;South Oxfordshire,Oxfordshire;7733;68
291177;;;23.93;17.98;3.5;;1.2;1;NEOLITHIC;-2500;-1500;Suffolk Coastal,Suffolk;5788;51.8
291133;;;22;15;4;;1.21;1;NEOLITHIC;-2900;-2100;Warwick,Warwickshire;13309;68
290591;;;36.03;20;13.91;;2.7;1;NEOLITHIC;-4000;-3200;Mendip,Somerset;10695;68
288093;leaf shaped;;22.22;14.84;3.27;;0.82;1;NEOLITHIC;-3500;-2900;Rotherham,Yorkshire del Sur;10631;50
288060;leaf shaped;;32.43;18.67;3.22;;1.63;1;NEOLITHIC;-3500;-2900;Rotherham,Yorkshire del Sur;10631;50
287809;;;27.63;19.27;4.85;;2.5;1;NEOLITHIC;-3500;-2900;Rugby,Warwickshire;13553;50
287798;;;17.2;23.36;2.5;;1.3;1;NEOLITHIC;-3500;-2900;Rugby,Warwickshire;13553;68
287776;;;16.09;16.36;2.31;;0.6;1;NEOLITHIC;-3500;-1500;Rugby,Warwickshire;13553;66.2
287731;Tanged;;22.67;17.37;4.91;;1.9;1;BRONZE AGE;-2150;-1500;West Somerset,Somerset;12273;50
286322;;;17.7;13.6;3.3;;0.76;1;NEOLITHIC;-3500;-2900;Selby,Yorkshire del Norte;13941;73.4
284778;;;38.03;15.5;5.8;;3.2;1;NEOLITHIC;-3500;-2900;South Staffordshire,Staffordshire;13890;60.8
284666;Leaf-shaped;;26.8;18;3.7;;1.7;1;NEOLITHIC;-3500;-2150;East Riding of Yorkshire,East Riding of Yorkshire;13250;51.8
284626;transverse;;28.5;29.9;3.46;;2.49;1;NEOLITHIC;-2500;-2100;Craven,Yorkshire del Norte;6281;51.8
283102;;;36.52;20.55;21.2;;;1;NEOLITHIC;-3500;-2100;Calderdale,Yorkshire del Oeste;14704;51.8
283078;;;30.76;16.93;16.72;;;1;NEOLITHIC;-2500;-2100;Calderdale,Yorkshire del Oeste;14704;51.8
283067;;;21.55;32.23;5.52;;;1;NEOLITHIC;-3500;-2100;Calderdale,Yorkshire del Oeste;14704;51.8
